candidate_id,name,official_url,access,license,scale_and_format,modalities_and_labels,recommended_use,domain_gap,priority
D049,Fluorescence labelled infected mouse bone tissues,https://zenodo.org/records/8411792,direct,CC BY 4.0,"6 Zeiss CZI files; about 7.48 GB","multiphoton fluorescence; labelled S. aureus and bone microstructure","infection-bone fluorescence preprocessing and self-supervised representation","animal; microscopic; non-jaw; non-operative; no necrotic-bone mask",high
D050,Lightsheet microscopy of human bone,https://zenodo.org/records/14212791,direct,CC BY 4.0,"8 Imaris IMS files; about 18 GB; ages 12-14 and 55-84","human bone biopsy lightsheet microscopy; collagen-rich matrix autofluorescence and immunostaining","age-related bone microenvironment and autofluorescence engineering validation","non-jaw; no osteomyelitis or necrosis; no operative RGB pairing",medium
D051,Jaw osteonecrosis peri-lesional imaging mass cytometry data,https://doi.org/10.6084/m9.figshare.30383407,metadata direct; files require browser verification,CC BY 4.0 reported by DataCite,"about 6.87 GB; file list and case count pending verification","imaging mass cytometry and spatial tissue data around jaw osteonecrosis","biological rationale for necrotic-transition-viable spatial classes","pathology-scale spatial omics; no operative fluorescence; no surgical boundary truth",medium
D052,Evans blue mouse vocal-fold permeability dataset,https://doi.org/10.5061/dryad.9w0vt4bsc,metadata public; download availability requires verification,CC0,"about 1.77 GB; 8 archives/readme","Evans blue autofluorescence; dose and treatment groups; positive area and intensity","permeability and albumin-binding mechanism control","non-bone animal tissue; no necrosis selectivity; no jaw imaging",low
D053,C3VDv2,https://github.com/DurrLab/C3VD,direct; license terms require final verification,see official terms,"about 10015 frames in 22 videos plus 3D models","monocular RGB; depth; normals; optical flow; camera pose; calibration","2D-3D registration; pose; drift; AR projection and failure detection","colon phantom; no CBCT jaw; no fluorescence",high
D054,EndoSLAM,https://github.com/CapsuleEndoscope/EndoSLAM,direct; dataset terms vary by subset,code MIT; data terms require verification,"synthetic; printed phantom; ex-vivo porcine GI sequences","RGB with subset-dependent depth and trajectory truth","SLAM scale recovery and robustness under reflection and weak texture","GI endoscopy; no jaw; no fluorescence",medium
D055,SERV-CT,https://github.com/surgical-vision/servcttk,direct or official-request path; verify data terms,toolkit MIT; data terms require verification,"stereo endoscopic images paired with CT-derived surfaces","stereo calibration; disparity/depth reference; CT surface correspondence","cross-modal intraoperative image to preoperative CT registration","ex-vivo non-jaw tissue; no fluorescence",high
D056,SCARED,https://endovissub2019-scared.grand-challenge.org/,registration required,Grand Challenge research terms,"robotic stereo porcine abdominal sequences","stereo calibration; structured-light depth/disparity; motion metadata","depth reconstruction and temporal registration benchmarking","porcine abdomen; no CBCT; no fluorescence",medium
D057,EndoMapper,https://www.synapse.org/#!Synapse:syn52137895,application required,data-use agreement,"96 complete clinical procedures; about 24 hours","clinical monocular video; calibration sequences and parameters; simulated geometry subset","long-video calibration drift and real-world robustness","GI endoscopy; sparse geometric truth in real cases; no jaw fluorescence",medium
D058,HECKTOR 2025,https://hecktor25.grand-challenge.org/dataset/,application required,approved-use agreement,"more than 1200 cases across 11 centers","registered FDG-PET/CT; GTV masks; age; gender; tobacco; alcohol; performance and treatment/outcome fields","image plus clinical-table fusion; missing-data handling; multicenter validation","head-neck cancer; no jaw osteomyelitis; no necrotic-bone labels or lab panel",high
