"编号","类别","题名","年份","期刊/会议","主要内容","主要创新点/亮点","涉及模型/方法/可迁移点","代码/模型链接","DOI","论文链接","开放PDF链接","本地PDF路径","下载状态","引用数_OpenAlex","相关度"
"P001","病种影像","Magnetic resonance imaging texture analysis in the quantitative evaluation of acute osteomyelitis of the mandibular bone","2021","Dentomaxillofacial Radiology","用 MRI 纹理定量评估下颌骨急性骨髓炎。","把肉眼难分辨的骨髓炎信号转为纹理特征，支撑“边界隐匿需要量化”的论证。","MRI texture/radiomics features，可迁移为术前影像辅助标签或先验。","","https://doi.org/10.1259/dmfr.20210321","https://doi.org/10.1259/dmfr.20210321","https://europepmc.org/api/getPdf?pmcid=PMC8693326","","link_only_no_local_pdf","15","可选"
"P002","病种影像","Optimizing diagnosis and surgical decisions for chronic osteomyelitis through radiomics in the precision medicine era","2024","Frontiers in Bioengineering and Biotechnology","慢性骨髓炎 MRI 影像组学用于诊断和手术范围决策。","扩展 ROI 比原始 ROI 表现更好，强调病灶周边区也有决策价值。","Radiomics + SVM；可迁移为病灶周边风险带标注。","","https://doi.org/10.3389/fbioe.2024.1315398","https://doi.org/10.3389/fbioe.2024.1315398","https://www.frontiersin.org/articles/10.3389/fbioe.2024.1315398/pdf?isPublishedV2=False","","link_only_no_local_pdf","9","可选"
"P003","病种影像","A multicenter study: habitat imaging and radiomics to guide precision and individualized surgical treatment in chronic osteomyelitis","2026","BMC Medical Imaging","多中心慢性骨髓炎 habitat imaging 和影像组学指导个体化手术。","从“是否病灶”推进到“手术切除范围/分区”。","Habitat imaging + radiomics；适合转化成术中风险分层。","","https://doi.org/10.1186/s12880-026-02164-y","https://doi.org/10.1186/s12880-026-02164-y","https://bmcmedimaging.biomedcentral.com/counter/pdf/10.1186/s12880-026-02164-y.pdf","","link_only_no_local_pdf","0","可选"
"P004","病种影像","The usefulness of different imaging modalities in mandibular osteonecrosis and osteomyelitis diagnosis","2025","Scientific Reports","比较多种影像模态对下颌骨坏死和骨髓炎诊断的作用。","直接服务“术前多模态信息如何辅助荧光显微镜”的论证。","CT/MRI/核医学等模态比较；用于多模态输入选择。","","https://doi.org/10.1038/s41598-025-96910-x","https://doi.org/10.1038/s41598-025-96910-x","https://www.nature.com/articles/s41598-025-96910-x.pdf","","link_only_no_local_pdf","6","可选"
"P005","病种影像","Early diagnosis of jaw osteomyelitis by easy digitalized panoramic analysis","2019","Maxillofacial Plastic and Reconstructive Surgery","用数字化全景片分析早期识别颌骨骨髓炎。","说明低成本全景片也能提供早期病灶线索。","全景片定量分析；可作低门槛预筛。","","https://doi.org/10.1186/s40902-019-0188-2","https://doi.org/10.1186/s40902-019-0188-2","https://jkamprs.springeropen.com/track/pdf/10.1186/s40902-019-0188-2","","link_only_no_local_pdf","27","可选"
"P006","病种影像","Chronic Osteomyelitis of the Jaw. Osteomyelitis","2025","Journal of Clinical and Experimental Dentistry","颌骨慢性骨髓炎临床综述/病例资料。","补足病因、临床表现、诊疗路径基础。","Clinical review；用于医学背景章节。","","https://doi.org/10.4317/jced.62596","https://doi.org/10.4317/jced.62596","https://doi.org/10.4317/jced.62596","","link_only_no_local_pdf","6","可选"
"P007","口腔AI","Automated detection and classification of osteolytic lesions in panoramic radiographs using CNNs and vision transformers","2025","BMC Oral Health","全景片中骨溶解病灶检测与分类。","区分边界清晰/边界不清病灶，最贴近本赛题“边界隐匿”。","Mask R-CNN/Swin-Tiny、Mask DINO、YOLOv5；可迁移到颌骨病灶检测。","","https://doi.org/10.1186/s12903-025-06209-6","https://doi.org/10.1186/s12903-025-06209-6","https://bmcoralhealth.biomedcentral.com/counter/pdf/10.1186/s12903-025-06209-6","","link_only_no_local_pdf","6","可选"
"P008","口腔AI","Deep Learning for Automated Detection of Cyst and Tumors of the Jaw in Panoramic Radiographs","2020","Journal of Clinical Medicine","全景片自动检测颌骨囊肿和肿瘤。","颌骨病灶定位任务的成熟范式。","深度检测/分类模型；可迁移为术前 ROI 提取。","","https://doi.org/10.3390/jcm9061839","https://doi.org/10.3390/jcm9061839","https://pdfs.semanticscholar.org/b913/53a8b92e604b9b93f1dfe84a8a34ce9a0b72.pdf","","link_only_no_local_pdf","175","可选"
"P009","口腔AI","DeNTNet: Deep Neural Transfer Network for the detection of periodontal bone loss using panoramic dental radiographs","2019","Scientific Reports","全景片牙周骨丧失检测。","迁移学习在牙科全景片小数据场景中有效。","Transfer learning CNN；可迁移为小样本颌骨骨质异常检测。","","https://doi.org/10.1038/s41598-019-53758-2","https://doi.org/10.1038/s41598-019-53758-2","https://www.nature.com/articles/s41598-019-53758-2.pdf","","link_only_no_local_pdf","231","低相关"
"P010","口腔AI","A benchmark for comparison of dental radiography analysis algorithms","2016","Medical Image Analysis","牙科影像分析算法基准。","老但重要，可作为牙科影像公开基准与评价指标来源。","Benchmark + segmentation/analysis algorithms；可参考评价协议。","","https://doi.org/10.1016/j.media.2016.02.004","https://doi.org/10.1016/j.media.2016.02.004","https://pure.manchester.ac.uk/ws/portalfiles/portal/45988550/wang_MIA2016.pdf","","link_only_no_local_pdf","389","低相关"
