record_id,pmcid,article_title,figure_label,caption,source_page_url,full_text_xml_url,oa_api_url,package_url,asset_url,package_member,download_method,local_path,size_bytes,sha256,license,license_text,usage_policy,training_seed_allowed,medical_scene,fluorescence,domain_tier,target_domain_flag,label_type,review_state,sample_weight,physician_reviewed,data_boundary,downloaded_at_utc
PMC12113262_figure_2,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 2,"Clinical view after bone exposure through a mucoperiosteal flap with arrows indicating necrotic areas (a); direct intraoperative fluorescence examination showing hypofluorescent necrotic bone, highlighted by arrows (b).",https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/6575d364f5ac/life-15-00686-g002.jpg,life-15-00686-g002.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_2.jpg,81196,57a6d43b243b78c52c882fce46914dcadea1f98a8f7c1d3c34999a74d1f0e00c,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.306613+00:00
PMC12113262_figure_3,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 3,"Delineation of margins and bone block removal in the clinical view (a,b), followed by autofluorescence imaging of the site post-excision (c).",https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/776c6166078c/life-15-00686-g003.jpg,life-15-00686-g003.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_3.jpg,76414,71476a46f0aa5c5ca28239c719f949dbd2dd77c55ad046574d5755aadf411bd3,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.417666+00:00
PMC12113262_figure_4,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 4,Osteotomy of the anterior necrotic bone segment in the clinical view (a) and its corresponding autofluorescence imaging (b). The complete removal of the bone segment is shown in (c).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/482bfcc2333b/life-15-00686-g004.jpg,life-15-00686-g004.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_4.jpg,81867,8091224748ca456d0687470a3720010db1a3f3d82ef53d277cbc3bd7c064da7e,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.525683+00:00
PMC12113262_figure_5,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 5,"Osteotomy (a); osteoplasty using Er:YAG laser with arrows indicating viable bone (b), up to the identification of highly hyperfluorescent bone (arrows), confirming the clinical assessment (c).",https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/d5473ca7af8c/life-15-00686-g005.jpg,life-15-00686-g005.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_5.jpg,75983,5a7b4081cc4314a8b07a2d1b2741a94b7b23e7cce8c2a4d5188cee01d3b019e8,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.629846+00:00
PMC12113262_figure_6,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 6,"Bone fragments were removed and sent for histopathological analysis, shown in the clinical view (a–c) with their corresponding autofluorescence images (1–3).",https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/c49f51e77034/life-15-00686-g006.jpg,life-15-00686-g006.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_6.jpg,136761,0a11b354f306d442065179ae4c112a5d5ba3a9b10e36263ee73022e9d345022a,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.768536+00:00
PMC12113262_figure_8,PMC12113262,Autofluorescence-Guided Surgery in the Management of Osteonecrosis of the Jaw,Figure 8,Histopathological analysis of hematoxylin–eosin specimens at 10× magnification. Hyperfluorescent sample: vital bone with vessels and osteons (a); Hypofluorescent sample: necrotic bone (b).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12113262/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12113262/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12113262,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a0/6d/PMC12113262.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d41/12113262/6a6ec256327b/life-15-00686-g008.jpg,life-15-00686-g008.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC12113262\PMC12113262_figure_8.jpg,120822,5dc1d360e5b2d3282e230cad955115fa880bfa65377b425508192b4175a87408,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",weak_label_training_seed_with_attribution,True,osteonecrosis_of_the_jaw_autofluorescence_guided_surgery,bone_autofluorescence_blue_light,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:50.862753+00:00
PMC4628814_figure_2,PMC4628814,Fluorescence-guided bone resection in diffuse chronic sclerosing osteomyelitis of the mandible,Figure 2,Intraoperative clinical picture A) after subperiosteal exploration. The extent of the unhealthy bone became obvious by use of VELscope® B) (arrowhead: Detected area show healthy bone. arrow: Undetected area show unhealthy bone) Intraoperative clinical picture of resected section C) and fluorescence picture D) after fluorescence-guided bone resection.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4628814/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4628814/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC4628814,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/2b/5f/PMC4628814.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4628814/supplementaryFiles,jced-7-e548-g002.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC4628814\PMC4628814_figure_2.jpg,180089,45e8f72fb1327b0f4a73af10d23fd4a69ce1faba195642c8d7e4116746c0f182,CC BY,"https://creativecommons.org/licenses/by/2.5/This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",weak_label_training_seed_with_attribution,True,mandibular_chronic_sclerosing_osteomyelitis_fluorescence_guided_resection,velscope_bone_autofluorescence,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:54.337372+00:00
PMC4628814_figure_3,PMC4628814,Fluorescence-guided bone resection in diffuse chronic sclerosing osteomyelitis of the mandible,Figure 3,"Clinical picture and fluorescence picture of the postoperative resected mandible A). VELscope® findings of the resected mandible B). Histopathological findings of the following section; a and b C-F). (sectiona; C and E, section b; D and F, C,D; ×40 magnification, E,F; ×100 magnification).",https://pmc.ncbi.nlm.nih.gov/articles/PMC4628814/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4628814/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC4628814,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/2b/5f/PMC4628814.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4628814/supplementaryFiles,jced-7-e548-g003.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC4628814\PMC4628814_figure_3.jpg,224718,450f7a2ca568ac8e332e5f7099d97700af035bb07831d5865880caba7faa8147,CC BY,"https://creativecommons.org/licenses/by/2.5/This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",weak_label_training_seed_with_attribution,True,mandibular_chronic_sclerosing_osteomyelitis_fluorescence_guided_resection,velscope_bone_autofluorescence,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.25,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:54.341454+00:00
PMC11760707_fig_1,PMC11760707,Clinical outcome and volumetric 3D analysis of biofluorescence-guided surgery for MRONJ,Fig. 1,"Intraoperative images on Qray-pen device; A. Necrotic bone and surrounding inflamed tissue found after mucoperiosteal flap elevation. B. Hyper-red/hypo-red fluorescent bone tissue found under Qray-pen image. C,E View after additional removal of hyper-red fluorescent bone area. D,F. Hyper-red fluorescent bone tissue still remaining under Qray-pen image. G. View after complete removal of hyper-red fluorescence area. H. Confirmed complete removal of the hyper-red fluorescent area. I. Initial clinical photo J. Clinical photo after suture K. Post-operative clinical photo after 2 weeks L. Post-operative clinical photo after 2 months",https://pmc.ncbi.nlm.nih.gov/articles/PMC11760707/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11760707/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC11760707,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c2/2d/PMC11760707.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d0bb/11760707/543d7f05d517/12903_2025_5484_Fig1_HTML.jpg,12903_2025_5484_Fig1_HTML.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC11760707\PMC11760707_fig_1.jpg,114817,62f4ae307f3ce0dd8b1d422546d2b3a0b70b3284797b28b17ac6ac51d2413170,CC BY-NC-ND,"Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by-nc-nd/4.0/.",reference_only_no_derivatives,False,mronj_biofluorescence_guided_surgery,qray_red_biofluorescence,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.0,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:56.429143+00:00
PMC9509235_figure_6,PMC9509235,The Therapeutic Effectiveness Using Fluorescence-Guided Surgery for MRONJ,Figure 6,"Schematic diagram of fluorescence-guided technology. (a) The fluorescence detection device emits blue fluorescence, and the health bone tissue with osteocytes and collagen fibers appears “apple” green. (b) Necrotic bone showing no or reduced fluorescence. The upper right inset shows a schematic representation of normal bone collagen and osteocytes (a) or necrotic bone and empty lacuna (b).",https://pmc.ncbi.nlm.nih.gov/articles/PMC9509235/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9509235/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC9509235,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/29/5a/PMC9509235.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5a49/9509235/004629455181/BMRI2022-1650790.006.jpg,BMRI2022-1650790.006.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d047_pmc_jaw_fluorescence_figures\raw\PMC9509235\PMC9509235_figure_6.jpg,97020,4ee0ef2302abafe12dac346988fbdbe6f4d5bf563cd53094394c2c8ca461e39c,CC BY,"https://creativecommons.org/licenses/by/4.0/This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",literature_reference_only,False,mronj_fluorescence_guidance_schematic,schematic_bone_fluorescence,jaw_fluorescence_target_condition_near_domain,False,figure_caption_weak_label,review_required,0.0,False,"Public article figure from a jaw fluorescence-related scene. It is a multi-panel weak-label source, without pixel annotations or direct intraoperative ICG jaw-osteomyelitis ground truth.",2026-07-10T20:58:59.099168+00:00
