record_id,pmcid,article_title,figure_label,caption,source_page_url,full_text_xml_url,oa_api_url,package_url,asset_url,archive_member,download_method,local_path,size_bytes,sha256,image_width,image_height,image_format,license,license_text,license_derivative_compatible,usage_policy,training_seed_allowed,training_eligible,medical_scene,fluorescence,domain_tier,asset_role,human_clinical,target_domain_flag,multi_panel,label_type,review_state,sample_weight,physician_reviewed,data_boundary,downloaded_at_utc
PMC9201330_figure_1,PMC9201330,Fluorescence-guided surgery for osteoradionecrosis of the jaw: a retrospective study,Figure 1.,(a) A 63-year-old male patient presented with exposed necrotic bone in his left mandible. Medical history was significant for head and neck radiotherapy owing to pharyngeal carcinoma. (b) Intraoperative image after elevation of periosteal flap. (c) Fluorescence view before necrotic bone removal; dull green fluorescence evident at the area of necrosis. (d) and (e) After necrotic bone removal and smoothening of sharp bone edges; bright homogenous green-fluorescent bone was observed and (f) Intraoral image 6 months after surgery with complete mucosal healing.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9201330/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9201330/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC9201330,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/0c/fe/PMC9201330.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9201330/supplementaryFiles,10.1177_03000605221104186-fig1.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC9201330\PMC9201330_figure_1.jpg,109968,5026d7f2b9cde29d6ba47b89f5945107c5c0b5465a56404010f8281f90d70cab,750,412,JPEG,CC BY,"Creative Commons CC-BY: This article is distributed under the terms of the Creative Commons Attribution 4.0 License (https://creativecommons.org/licenses/by/4.0/) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages (https://us.sagepub.com/en-us/nam/open-access-at-sage).",True,jaw_clinical_weak_label_seed_after_panel_crop_and_review,True,False,human_jaw_osteoradionecrosis_fluorescence_guided_resection,tetracycline_green_bone_fluorescence,near_domain,human_clinical_jaw_surgery,True,False,True,figure_caption_weak_label,review_required,0.3,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:22.881003+00:00
PMC11355438_figure_2,PMC11355438,Demineralized Dentin Matrix Incorporated with rhBMP-2 Composite Graft for Treating Medication-Related Osteonecrosis of the Jaw,Figure 2,Intraoral images. (A) Necrotic bone was exposed on right maxilla. (B) Removal of sequestrum. (C) Red fluorescent bone was selectively removed by using Qray Pen-C. (D) HuBT incorporated with rhBMP-2 graft. (E) Primary closure. (F) Four months post-surgery. (G) Seven months post-surgery. (H) Fourteen months post-surgery.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11355438/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11355438/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC11355438,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/bd/70/PMC11355438.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a187/11355438/00269b961882/jcm-13-04830-g002.jpg,jcm-13-04830-g002.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC11355438\PMC11355438_figure_2.jpg,118647,4483e67429b4b3c9e79057518f789b6ce00473f083faadc1d5ed2fe3751930b4,734,365,JPEG,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",True,jaw_clinical_weak_label_seed_after_panel_crop_and_review,True,False,human_maxillary_mronj_qray_fluorescence_guided_resection,qray_red_biofluorescence,near_domain,human_clinical_jaw_surgery,True,False,True,figure_caption_weak_label,review_required,0.3,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:25.565906+00:00
PMC11355438_figure_5,PMC11355438,Demineralized Dentin Matrix Incorporated with rhBMP-2 Composite Graft for Treating Medication-Related Osteonecrosis of the Jaw,Figure 5,"Hematoxylin and eosin staining of the specimens. (a) Sequestrum (×10), showing chronic inflammation (asterisk) and bone matrix destruction (B). (b) Red fluorescent bone tissue (×20), showing destructed bone matrix (B) with actinomycosis infection (Black arrow). (c) Non-red fluorescent bone tissue (×20), showing vital bone matrix (B) with osteocytes without matrix destruction or bacterial invasion.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11355438/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11355438/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC11355438,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/bd/70/PMC11355438.tar.gz,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a187/11355438/152bf287d56f/jcm-13-04830-g005.jpg,jcm-13-04830-g005.jpg,cdn_asset,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC11355438\PMC11355438_figure_5.jpg,124109,09cd3e591dff0ffe2980525834f373cc1734b7fb8e891122fc75865f3a761c19,756,258,JPEG,CC BY,"Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",True,mechanism_reference_only,False,False,human_mronj_fluorescence_histopathology_correlation,histopathology_correlated_red_biofluorescence,near_domain_reference,human_histopathology_reference,False,False,True,figure_caption_weak_label,reference_only,0.0,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:26.127291+00:00
PMC12829038_fig_1,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 1,"Case 1 (69-year-old female, #25i-26i) treated with BIS-guided implantoplasty. A, B Preoperative radiograph and intraoral image. C Modified Widman flap operation with curettage of peri-implant tissue. D-G Sequential BIS-guided fluorescence images during implantoplasty showing selective removal of the red-fluorescent area. H, I Postoperative intraoral images at 1 week and 13.4 months showing no recurrence of peri-implantitis or peri-gingivitis. J Radiograph at 13.4 months demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig1_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_1.jpg,206427,8abb26c1d41b4d50e46bc52c61bca5c7b6fc7b160ed4d1df10b6d9482f7bd2e2,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:28.982757+00:00
PMC12829038_fig_3,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 3,"Case 2 (76-year-old female, #25i) treated with BIS-guided implantoplasty with adjunctive application of PDRN and vestibuloplasty. A, B Preoperative radiograph and intraoral image. C–F Sequential BIS-guided fluorescence images during implantoplasty. G Vestibuloplasty was performed after BIS-guided implantoplasty with primary closure. H, I Postoperative intraoral images at 1 week and 9.4 months. J Radiograph at 10.1 months demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig3_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_3.jpg,165905,948dedd166f589310ab540c1eb3de89d1003e827f5796c1c99fea301e754cdc4,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:28.986833+00:00
PMC12829038_fig_4,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 4,"Case 3 (59-year-old female, #32i-42i) treated with BIS-guided implantoplasty on only #32i due to no red-fluorescence on #42i, with adjunctive application of PDRN and AteloPlug. A, B Preoperative radiograph and intraoral image. C–H BIS fluorescence-guided implantoplasty on #32i and modified flap surgery on #42i. I Postoperative intraoral images at 6.8 months. J Radiograph at 7.1 months demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig4_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_4.jpg,214984,b9ee20a6b05f872321a0058f6a26140f81ccc5fbec02daf89c5814ab1c1fc750,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:28.992980+00:00
PMC12829038_fig_5,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 5,"Case 4 (61-year-old male, #46i and #47i) treated with BIS-guided implantoplasty with adjunctive application of PDRN. A, B Preoperative radiograph and intraoral image. C–G Sequential BIS-guided fluorescence images during implantoplasty. H, I Postoperative intraoral images at 1.9 and 7.1 months. J Radiograph at 7.1 months demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig5_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_5.jpg,172893,ffe2a5a5de63e688c98984a51450b0d1f15689a46314097a84a671cd68fb2965,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:28.997773+00:00
PMC12829038_fig_6,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 6,"Case 5 (87-year-old male, #16i-17i) treated with BIS-guided implantoplasty with adjunctive application of PDRN and AteloPlug. A, B Preoperative radiograph and intraoral image. C–G Sequential BIS-guided fluorescence images during implantoplasty with AteloPlug. H, I Postoperative intraoral images at 1 week and 8.2 months. J Radiograph at 8.2 months postoperative demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig6_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_6.jpg,173130,37a60e31c539600207ef6068e8ba5e061cd60d66dc6b181cc653b9b34f2ed833,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:29.001837+00:00
PMC12829038_fig_7,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 7,"Case 6 (71-year-old female, #12i-14i) treated with BIS-guided implantoplasty with adjunctive application of Minocure. A, B Preoperative radiograph and intraoral image. C–G Sequential BIS-guided fluorescence images during implantoplasty (H, I) Postoperative intraoral images at 10 days and 11.8 months. J Radiograph at 11.8 months demonstrating stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig7_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_7.jpg,197516,ce8bfef8a5b08b9bd9cc13086e0bcb4524f9dcb1d14067e0298147226b9d82d9,1985,806,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:29.008293+00:00
PMC12829038_fig_8,PMC12829038,Biofluorescence imaging-guided implantoplasty for the management of peri-implantitis: a retrospective case series,Fig. 8,"Case 7 (75-year-old female, #12i and #13i) was treated with BIS-guided implantoplasty with adjunctive application of Minocure, alveoloplasty, and vestibuloplasty. A, B Preoperative radiograph and intraoral image. C–G Sequential BIS-guided fluorescence images during implantoplasty and alveoloplasty. H, I Postoperative intraoral images at 2.4 and 4 months. J Radiograph at 13.4 months demonstrating maintained stable bone levels",https://pmc.ncbi.nlm.nih.gov/articles/PMC12829038/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/fullTextXML,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC12829038,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d1/16/PMC12829038.tar.gz,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12829038/supplementaryFiles,12903_2025_7644_Fig8_HTML.jpg,europe_pmc_archive_member,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d048_open_clinical_bone_fluorescence\raw\PMC12829038\PMC12829038_fig_8.jpg,171697,7bec59ca385d4da2a0edab53fe110c64515e916fb50442cc42399d4e5445f63c,1985,802,JPEG,CC BY,"https://creativecommons.org/licenses/by/4.0/Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",True,oral_adjacent_weak_label_seed_after_panel_crop_and_review,True,False,human_oral_peri_implantitis_biofluorescence_guided_implantoplasty,qray_red_biofluorescence,oral_fluorescence_adjacent_domain,human_clinical_oral_surgery,True,False,True,figure_caption_weak_label,review_required,0.15,False,"Open-access article figure with explicit CC BY/CC0-compatible reuse terms. The source remains a multi-panel publication image without physician pixel masks, raw paired white-light/NIR frames, or target-domain intraoperative ICG ground truth.",2026-07-10T21:57:29.013016+00:00
