编号,数据集,模态,规模/标注,下载/访问链接,用途,备注,相关度
D001,DENTEX Challenge / DENTEX dataset,牙科全景片,约 1005 张全景片；牙齿识别、编号、诊断相关标注；挑战基准。,https://zenodo.org/records/7812323,训练口腔全景片牙齿/病灶区域定位，作为颌骨 ROI 预处理基准。,公开挑战数据，适合算法演示和评价。,可选
D002,Tufts Dental Database (TDD),牙科全景片/牙科影像,官方入口描述为研究型牙科影像数据库，含全景 X 光等。,https://tdd.ece.tufts.edu/,牙科影像预训练、牙齿/颌骨结构定位。,需按官网条款访问；NIDCR DDSHub 也收录入口。,可选
D003,Children’s Dental Panoramic Radiographs Dataset,儿童牙科全景片,公开数据记录；用于牙病检测/分割。,https://springernature.figshare.com/collections/_/6317013,小样本口腔病灶/牙体结构预训练与数据增强。,Springer Nature Figshare 数据集。,低相关
D004,OdontoAI Open Panoramic Radiographs,牙科全景片,公开说明约 4000 张全景片，覆盖儿童和成人。,https://github.com/IvisionLab/OdontoAI-Open-Panoramic-Radiographs,全景片基础模型预训练、牙齿/颌骨结构定位。,访问可能需按仓库说明申请。,可选
D005,Dental Panoramic X-ray images with Segmented Mandibles,牙科全景片,Mendeley Data；含全景片与下颌分割标注。,https://data.mendeley.com/datasets/hxt48yk462/2,下颌骨区域分割，建立颌骨 ROI 提取模块。,可作为主线 demo 的低成本公开数据。,重要
D006,BTXRD / Primary Bone Tumor Radiograph Dataset,骨肿瘤 X 线,分类、定位、分割数据集；Scientific Data 数据论文。,https://www.nature.com/articles/s41597-024-04311-y,骨病灶检测/分割预训练，虽非颌骨但病灶形态相关。,用于补足骨病灶公开数据不足。,可选
D007,Medical Segmentation Decathlon (MSD),多模态 3D 医学影像,10 个医学分割任务，官方基准。,http://medicaldecathlon.com/,验证 nnU-Net/TransUNet/SwinUNETR 等分割框架工程能力。,不直接用于颌骨，但适合作算法能力证明。,可选
D008,BraTS Challenge datasets,脑肿瘤 MRI,年度 MICCAI/医学影像挑战数据。,https://www.synapse.org/Synapse:syn51156910/wiki/622351,Swin UNETR/UNETR/nnU-Net 等模型参考基准。,用于方法论和报告引用，不是本项目主数据。,低相关
D009,NIDCR DDSHub Head & Neck Imaging Data,头颈部 CT/MRI/PET/口腔相关影像入口,聚合头颈部影像数据源链接。,https://www.ddshub.nih.gov/data-sources/head-neck-imaging-data,寻找头颈/口腔相关术前影像数据。,适合作为后续数据扩展入口。,低相关
D010,The Cancer Imaging Archive - Head-Neck collections,头颈肿瘤 CT/PET/MRI,TCIA 多个头颈癌集合。,https://www.cancerimagingarchive.net/,多模态注册、分割、术前影像融合预训练。,非骨髓炎，但头颈解剖和多模态流程相关。,低相关
